-578678241,"12 Billiter Street, City of London, Middlesex, London, England"
18246,"12 Billiter Street, City of London, Middlesex, London, England"
18246,"Crutched Friars, City of London, Middlesex, London, England"
46423,"89 Great Tower Street, St Dunstan in the East, London, Middlesex, London, England"
23689,"5 Whitehouse Terrace, Edinburgh, Midlothian (Edinburgh), Central Scotland, Scotland"
23689,"Cargen, Kirkcudbrightshire, Southern Scotland, Scotland"
23689,"Cargen Lodge, Grange Loan, Edinburgh, Midlothian (Edinburgh), Central Scotland, Scotland"
23689,"Limefield House, West Calder, Haddingtonshire (East Lothian), Central Scotland, Scotland"
15859,"Froxfield, Wiltshire, South-west England, England"
15859,"Little Bedwyn, Wiltshire, South-west England, England"
15859,"Hitchin, Hertfordshire, South-east England, England"
15859,"4 Violet Terrace, Seaton, Devon, Devon & Cornwall, England"
15859,"Bampton Street, Minehead, Somerset, South-west England, England"
15859,"The Elms [now White House], Old Beer Road, Seaton, Devon, Devon & Cornwall, England"
18540,"Clifton, Bristol, Gloucestershire, South-west England, England"
42628,"Lismore, Co. Waterford, Ireland"
40899,"92 Eaton Square, London, Middlesex, London, England"
16117,"Leamington Spa, Warwickshire, West Midlands, England"
45902,"19 Upper Brook Street, London, Middlesex, London, England"
45902,"Grosvenor Square, London, Middlesex, London, England"
18262,"Edinburgh, Midlothian (Edinburgh), Central Scotland, Scotland"
45097,"Clifton, Bristol, Gloucestershire, South-west England, England"
45097,Barbados
45097,Barbados
45097,"15 Henrietta Street, Bath, Somerset, South-west England, England"
45097,"22 Pulteney Street, Bath, Somerset, South-west England, England"
21751,"Chatham, Kent, South-east England, England"
21751,"Greenstreet, Sittingbourne, Kent, South-east England, England"
45889,"Glasgow, Lanarkshire, Central Scotland, Scotland"
3630,"6 York Place, Clifton, Bristol, Gloucestershire, South-west England, England"
3630,"7 Meridian Place, Bristol, Gloucestershire, South-west England, England"
3630,"7 York Place, Clifton, Bristol, Gloucestershire, South-west England, England"
42681,"Dalston Terrace, Hackney, London, Middlesex, London, England"
42681,"Union Court, Old Broad Street, City of London, Middlesex, London, England"
20430,"Stamford Hill, London, Middlesex, London, England"
2146630919,"9 St Mary's Place, Aberdeen, Aberdeenshire, North-east Scotland, Scotland"
2146630919,"Granton Lodge, Old Machar, Aberdeen, Aberdeenshire, North-east Scotland, Scotland"
45434,"Erbach, Duchy of Nassau, Germany"
2146630831,"Spring Grove, Richmond, Surrey, South-east England, England"
15759,"Keyingham, Patrington, Yorkshire, Yorkshire, England"
15759,"Heavitree, Devon, Devon & Cornwall, England"
1844309632,"111 Mount Street, Grosvenor Square, London, Middlesex, London, England"
1844309632,"Sedgley Hall, Prestwich, Manchester, Lancashire, North-west England, England"
1844309632,"Weston House, Long Compton, Warwickshire, West Midlands, England"
2146662471,"Sarum, Devizes, Wiltshire, Wessex, England"
2146645561,"Little Abington, Cambridgeshire, East Anglia, England"
2146645561,"Derwentwater House, Acton, Middlesex, South-east England, England"
17490,"Portsmouth Road, Kingston-upon-Thames, Surrey, South-east England, England"
24785,"Norbiton House, Kingston-upon-Thames, Surrey, South-east England, England"
18316,"London, London, England"
2146631070,"24 Bryanston Street, Portman Square, London, Middlesex, London, England"
24078,"61 New Bond Street, London, Middlesex, London, England"
24078,"Coed Talon, Mold, Flint, Flintshire, North Wales, Wales"
25639,"Farnham, Surrey, South-east England, England"
25529,"Exton Park, Oakham, Rutland, East Midlands, England"
484021235,"1 Marine Parade, Worthing, Sussex, South-east England, England"
27036,"Montague Street, Russell Square, London, Middlesex, London, England"
2146631691,"Montague Street, Russell Square, London, Middlesex, London, England"
2146636259,"Broughton Street, Edinburgh, Midlothian (Edinburgh), Central Scotland, Scotland"
2146636259,"Nicholson Street, Lauriston, Glasgow, Lanarkshire, Central Scotland, Scotland"
40905,"Little Russell Street, Bedford Square, London, Middlesex, London, England"
14916,Malta
14916,"4 Clarence Place, Portsea, Portsmouth, Hampshire, Wessex, England"
14916,"Holland Terrace, Kensington, London, Middlesex, London, England"
8598,"Grove End, Cockpen, Bonnyrigg, Midlothian (Edinburgh), Central Scotland, Scotland"
19465,"Moore Town, Portland, Jamaica"
10609,"Ordance Survey Office, Phoenix Park, Dublin, Dublin, Ireland"
1325152694,"Nether Cullean, Maybole, Ayrshire, Southern Scotland, Scotland"
45772,"Ayr, Ayrshire, Southern Scotland, Scotland"
2146630511,"Galway, Co. Galway, Ireland"
14330,"18 Holland Place, Clapham Road, Clapham, London, Surrey, London, England"
14330,"21 Oseney Crescent, Kentish Town, London, Middlesex, London, England"
2663,"53 Cadogan Place, London, Middlesex, London, England"
2663,"Nether Hall, Doncaster, Yorkshire, Yorkshire, England"
44326,"Galway, Co. Galway, Ireland"
44326,"12 New Cavendish Street, Portland Place, London, Middlesex, London, England"
22410,"Kintyre, Argyll, Argyll and Bute, Scotland"
22410,"Keil, Southend, Kintyre, Argyll, Argyll and Bute, Scotland"
12095,"Cathkin House, Lanarkshire, Central Scotland, Scotland"
29931,"Nassau, Germany"
29931,"Mannheim, Germany"
29931,"Gnoll House, Neath, Glamorgan, South Wales, Wales"
29931,"The Poplars, Gold Street, Wellingborough, Northamptonshire, Central England, England"
23847,"Poulett Lodge, Twickenham, Surrey, South-east England, England"
46457,"Amington Hall, Ashby Road, Tamworth, Staffordshire, West Midlands, England"
43811,"101/2 King's Arms Yard, Coleman Street, City of London, Middlesex, London, England"
43811,"35 Brunswick Square, London, Middlesex, London, England"
1327335172,"Old Jewry, City of London, Middlesex, London, England"
21008,"Alphington, Devon, Devon & Cornwall, England"
293,"Hill Street, Berkeley Square, London, Middlesex, London, England"
5301,"Brookfield, Ryde, Isle of Wight, Hampshire, Wessex, England"
5301,"Great Bedfords, Havering, Essex, South-east England, England"
26504,"125 Virginia Street, Glasgow, Lanarkshire, Central Scotland, Scotland"
26504,"83 Queens Terrace, Glasgow, Lanarkshire, Central Scotland, Scotland"
19029,"39 St Andrews Square, Glasgow, Lanarkshire, Central Scotland, Scotland"
19029,"Royal Academy, Inverness, Inverness-shire, Highlands & Islands, Scotland"
27858,"Walsall, Staffordshire, West Midlands, England"
44653,"Walsall, Staffordshire, West Midlands, England"
44653,"Park Street, Walsall, Staffordshire, West Midlands, England"
44653,"The Lodge, Fillongley, Warwickshire, West Midlands, England"
2804,"Bath, Somerset, South-west England, England"
25682,"Cameron House, Church Street, Leatherhead, Surrey, South-east England, England"
45764,"Bank Hill, Liverpool, Lancashire, North-west England, England"
12512,England
20952,"Cheltenham, Gloucestershire, South-west England, England"
502150039,"Guadalupe Cottage , Isle of Wight, Hampshire, Wessex, England"
41897,"152 Minories, City of London, Middlesex, London, England"
41897,"East Park Place, Regent's Park, London, Middlesex, London, England"
41897,"Lee Place, Eltham, Kent, London, England"
43507,"Aberdeen, Aberdeenshire, North-east Scotland, Scotland"
12004,"12 Upper Cuming Street, Pentonville, London, Middlesex, London, England"
12004,"Regent Place, London, Middlesex, London, England"
138849504,"45B Chester Square, Belgrave, London, Middlesex, London, England"
138849504,"Spring Grove, Heston, Middlesex, South-east England, England"
138849504,"Upper Seymour Street, London, Middlesex, London, England"
965427442,"Goldrood House, Ipswich, Suffolk, East Anglia, England"
1012127371,"Bank House, Bank Street, Ipswich, Suffolk, East Anglia, England"
40802,"22 Upper Grosvenor Street, London, Middlesex, London, England"
40802,"Southbar, Renfrewshire, Central Scotland, Scotland"
46692,"Possil House, Glasgow, Lanarkshire, Central Scotland, Scotland"
1333025363,"Galston, Ayrshire, Southern Scotland, Scotland"
966567762,"Galston, Ayrshire, Southern Scotland, Scotland"
14684,"1 Hemus Terrace, Chelsea, London, Middlesex, London, England"
44944,"Lymington, Hampshire, Wessex, England"
44945,"Lymington, Hampshire, Wessex, England"
41137,"Lymington, Hampshire, Wessex, England"
41138,Barbados
19457,"Hackney, London, Middlesex, London, England"
19457,"177 Amhurst Road, Hackney, London, Middlesex, London, England"
19457,"87 Richmond Road, Hackney, London, Middlesex, London, England"
19457,"Fairhurst, Woodside Road, Sholing, Southampton, Hampshire, Wessex, England"
44943,"Lymington, Hampshire, Wessex, England"
913,"Barcombe, Lewes, Sussex, South-east England, England"
16079,"Cornhill, London, Middlesex, London, England"
-2089159287,"Lymington, Hampshire, Wessex, England"
-1855725876,"Langley House, Abbots Langley, Hertfordshire, South-east England, England"
46224,"15 Walton Place, Chelsea, London, Middlesex, London, England"
46224,"5 Harley Street, Battersea, London, Surrey, London, England"
-881396232,"St George, Bermuda"
6849,"2 Litfield Place, Clifton, Bristol, Gloucestershire, South-west England, England"
2091007616,"Odiham, Hampshire, Wessex, England"
41274,Barbados
5942,"Cheltenham, Gloucestershire, South-west England, England"
5942,Barbados
7037,"27 Gloucester Place, London, Middlesex, London, England"
2146630469,"Sydney, New South Wales, Australia"
2146630469,"3 York Place, Clifton, Bristol, Gloucestershire, South-west England, England"
1538,"Cheltenham, Gloucestershire, South-west England, England"
43586,"Pangbourne, Berkshire, Central England, England"
43586,"48 Harley Street, London, Middlesex, London, England"
21392,"Pishiobury, Sawbridgeworth, Hertfordshire, South-east England, England"
21392,"48 Harley Street, London, Middlesex, London, England"
1896103556,"Enham House, Hampshire, Wessex, England"
19404,"Inverness, Inverness-shire, Highlands & Islands, Scotland"
926,"Beech House, Bransgrove, Hampshire, Wessex, England"
926,"Farley Hall, Berkshire, Central England, England"
926,"New Street, Spring Gardens, London, Middlesex, London, England"
43883,"23 Upper Grosvenor Street, London, Middlesex, London, England"
43883,"3 Queen Street, Mayfair, London, Middlesex, London, England"
43883,"73 Lombard Street, City of London, London, Middlesex, London, England"
42580,"Edinburgh, Midlothian (Edinburgh), Central Scotland, Scotland"
8660,"27 Blandford Square, London, Middlesex, London, England"
7680,"Yardley Village, Birmingham, Warwickshire, West Midlands, England"
43295,"Kenton, Devon, Devon & Cornwall, England"
43295,"Anspach House, Southampton, Hampshire, Wessex, England"
10049,"Eaton Place, London, Middlesex, London, England"
29445,"30 Princess Terrace, St Pancras, London, Middlesex, London, England"
2146630685,"Bentley Hall, Stafford, Staffordshire, West Midlands, England"
-1678371004,"5 Bulstrode Street, Marylebone, London, Middlesex, London, England"
-1678371004,"Rushall Hall, Rushall, Staffordshire, West Midlands, England"
13240,"Egremont, Wallasey, Cheshire, North-west England, England"
13240,"Prince Edwin Street, Liverpool, Lancashire, Merseyside, North-west England, England"
13240,"Trafalgar Road, Liscard, Wirral, Cheshire, North-west England, England"
13240,"Tyrer Street, Liverpool, Lancashire, Merseyside, North-west England, England"
43254,"South Reston, Lincolnshire, East Midlands, England"
43254,"64 Kensington , Kirkdale, Lancashire, North-west England, England"
43254,"Kensington Terrace, Kirkdale, Liverpool, Lancashire, North-west England, England"
3631,"Lindley Hall, Lindley, Leicestershire, East Midlands, England"
3631,"South Pickenham Hall, Swaffham, Norfolk, East Anglia, England"
41196,"Lymington, Hampshire, Wessex, England"
-1461964810,"Glasgow, Lanarkshire, Central Scotland, Scotland"
-1461964810,"Black Quarry, Glasgow (near), Lanarkshire, Central Scotland, Scotland"
11263,"St Peters Port, Guernsey, Channel Islands , South-East England"
17267,"4 Duncan Place, London, Middlesex, London, England"
17267,"Calthorpe Street, London, Middlesex, London, England"
17267,"Hunter Street, Brunswick Square, London, Middlesex, London, England"
43274,"12 Great James Street, Bedford Row, London, Middlesex, London, England"
43274,"23 Quay Street, Manchester, Lancashire, North-west England, England"
43274,"Kersal Cell, Kersal, Salford, Cheshire, North-west England, England"
1,"Bridge Place, Bridge, Canterbury, Kent, South-east England, England"
1,"Cole Harbor, Hilden Borough, Tonbridge, Kent, South-east England, England"
64,"10 Brunswick Square, Islington, London, Middlesex, London, England"
64,"New City Chambers, City of London, Middlesex, London, England"
2146650235,"Ashcott House, Ashcott, Somerset, South-west England, England"
22420,"Charlton, Woolwich, Kent, London, England"
22420,"68 Wimpole Street, London, Middlesex, London, England"
22420,"Halstead Place, Sevenoaks, Kent, South-east England, England"
2146633215,"Kirkby Lonsdale, Westmorland, Northern England, England"
10062,"12 Chislehurst Road, Streatham, London, Surrey, London, England"
10062,"26 Compton Street, Islington, London, Middlesex, London, England"
10062,"6 St Germans Place, Blackheath, Kent, London, England"
10062,"Buda[?] Lodge, Chislehurst Road, Streatham, London, Surrey, South-east England, England"
11646,"Greenwich South Street, Greenwich, Kent, London, England"
8650,"New York, New York, United States of America"
41550,"Bath, Somerset, South-west England, England"
41550,Ireland
41550,"Stone, Staffordshire, West Midlands, England"
41550,"Bonn, Germany"
8037,"Polkemmet House, Linlithgowshire (West Lothian), Central Scotland, Scotland"
1623572101,"Elmbank Place, Glasgow, Lanarkshire, Central Scotland, Scotland"
22747,"Leith, Midlothian (Edinburgh), Central Scotland, Scotland"
43398,"35 Southampton Row, Russell Square, London, Middlesex, London, England"
43398,"5 Copthall Court, City of London, Middlesex, London, England"
19478,"Gattonside House, Gattonside, Roxburghshire, Southern Scotland, Scotland"
42907,"Old Windsor, Berkshire, Central England, England"
20517,"London, Middlesex, London, England"
20517,"Lyppiatt Park, Stroud, Gloucestershire, South-west England, England"
20517,"Thorngrove House, Grimley, Worcestershire, West Midlands, England"
41048,"East India House, City of London, Middlesex, London, England"
2146631055,"Portland Place, London, Middlesex, London, England"
2146645443,"Kingston Lacy, Wimborne Minster, Dorset, Wessex, England"
1299741814,"London, Middlesex, London, England"
-1411131717,"82 Piccadilly, London, Middlesex, London, England"
-1411131717,"The Grange, Alresford, Hampshire, Wessex, England"
-1937716474,"London, Middlesex, London, England"
